|        Time |     Flux |
|     6.85999 | 0.986203 |
|     6.86884 | 0.972486 |
|     6.87744 | 0.978757 |
|     6.88611 | 0.965132 |
|     6.89471 | 0.982514 |
|     6.90338 | 0.976157 |
|     6.91199 | 0.970368 |
|     6.92059 | 0.976491 |
|      6.9292 | 0.981576 |
|     6.93781 | 0.973849 |
|     6.94666 | 0.980782 |
|     6.95502 | 0.974966 |
|     6.96387 | 0.975189 |
|     6.97253 | 0.977339 |
|     6.98114 | 0.980886 |
|     6.98975 | 0.984524 |
|     6.99835 | 0.968674 |
|     7.00696 | 0.981131 |
|     7.01556 | 0.976609 |
|     7.02441 | 0.975757 |
|     7.03278 | 0.984022 |
|     7.04163 |  0.98848 |
|     7.05029 | 0.984215 |
|      7.0589 | 0.976104 |
|      7.0675 | 0.976584 |
|     7.10193 | 0.981039 |
|     7.11053 | 0.989568 |
|     7.11945 | 0.981454 |
|     7.12775 | 0.981265 |
|     7.13666 | 0.986319 |
|     7.14526 | 0.979148 |
|     7.15393 | 0.989852 |
|     7.16254 |   0.9816 |
|     7.17114 | 0.974105 |
|     7.17975 |   0.9812 |
|     7.18835 |  1.00025 |
|      7.1972 | 0.981565 |
|     7.20557 | 0.978969 |
|     7.21448 | 0.987906 |
|     7.22308 | 0.971187 |
|     7.23169 | 0.981624 |
|      7.2403 | 0.981125 |
|      7.2489 | 0.984035 |
|     7.25751 | 0.980216 |
|     7.27472 | 0.982167 |
|     7.28333 | 0.971811 |
|     7.29224 | 0.969784 |
|     7.30054 |  0.98596 |
|     7.30945 | 0.986952 |
|     7.31805 | 0.979721 |
|     7.32666 | 0.977451 |
|     7.33527 | 0.981152 |
|     7.34387 | 0.976494 |
|     7.35248 | 0.983525 |
|     7.36108 | 0.985548 |
|        7.37 | 0.986292 |
|      7.3786 | 0.994891 |
|     7.38721 | 0.980227 |
|     7.39581 | 0.973413 |
|     7.40448 |  0.96906 |
|     7.41309 |  0.98135 |
|     7.42169 | 0.981591 |
|      7.4303 | 0.973505 |
|     7.45612 | 0.972481 |
|     7.46503 | 0.984304 |
|     7.47333 | 0.986104 |
|     7.49084 | 0.982563 |
|     7.49945 | 0.986791 |
|     7.50806 | 0.969322 |
|     7.51666 | 0.988607 |
|     7.52527 | 0.983935 |
|     7.53387 | 0.987707 |
|        7.56 | 0.995944 |
|      7.5686 |  0.98594 |
|     7.57721 | 0.962448 |
|     7.60303 | 0.980579 |
|     7.61163 | 0.990346 |
|     7.62054 | 0.981732 |
|     7.62885 | 0.977647 |
|     7.63776 | 0.989896 |
|     7.64636 | 0.981274 |
|     7.65503 | 0.981274 |
|     7.66364 | 0.977098 |
|     7.67224 | 0.982503 |
|     7.70667 | 0.985469 |
|     7.71558 | 0.988048 |
|     7.72388 |  1.00055 |
|     7.73279 | 0.988734 |
|     7.74139 | 0.992163 |
|        7.75 |  0.97874 |
|     7.75861 | 0.985074 |
|     7.76721 | 0.987114 |
|     7.77582 |  1.00371 |
|     7.78442 | 0.984237 |
|     7.79303 | 0.999135 |
|     7.81885 |  1.00702 |
|     7.82776 | 0.979952 |
|     7.83636 | 0.979324 |
|     7.84497 | 0.987956 |
|     7.85358 | 0.978428 |
|     7.87079 | 0.994416 |
|     7.87939 | 0.997177 |
|     7.88831 | 0.980619 |
|     7.89661 | 0.976273 |
|     7.90558 | 0.981506 |
|     7.91418 | 0.985911 |
|     7.92279 | 0.985296 |
|      7.9314 | 0.982862 |
|     7.94861 | 0.977716 |
|     7.95721 |   0.9966 |
|     7.96582 |  0.98638 |
|     7.97443 |   0.9881 |
|     7.98334 | 0.990889 |
|     7.99164 | 0.992049 |
|     8.00916 |  0.99559 |
|     8.01776 | 0.984368 |
|     8.02637 | 0.983979 |
|     8.03497 | 0.987321 |
|     8.04358 |  1.00063 |
|     8.05219 | 0.994465 |
|      8.0611 | 0.977429 |
|     8.06946 | 0.984053 |
|     8.07831 |  0.99675 |
|     8.08691 | 0.991714 |
|     8.09552 | 0.992028 |
|     8.10413 | 0.980329 |
|     8.11273 | 0.985206 |
|     8.13855 | 0.983185 |
|     8.14716 |  0.99016 |
|     8.15613 | 0.997852 |
|     8.16473 |  0.99139 |
|     8.17334 | 0.985942 |
|     8.19916 |  0.99587 |
|     8.20776 | 0.989857 |
|     8.21637 |  0.99659 |
|     8.22498 | 0.985127 |
|     8.23389 | 0.991965 |
|     8.24249 | 0.987472 |
|      8.2511 | 0.995044 |
